Date,Open,High,Low,Close,Adj Close,Volume
2017-03-29,383.65,383.65,383.65,383.65,383.65,36301200
2017-03-30,386.14,386.14,386.14,386.14,386.14,36301200
2017-03-31,386.36,386.36,386.36,386.36,386.36,36301200
2017-04-05,389.66,389.66,389.66,389.66,389.66,36301200
2017-04-06,391.91,391.91,391.91,391.91,391.91,36301200
2017-04-07,392.87,392.87,392.87,392.87,392.87,36301200
2017-04-10,389.2,389.2,389.2,389.2,389.2,36301200
2017-04-11,385.29,385.29,385.29,385.29,385.29,36301200
2017-04-12,390.23,390.23,390.23,390.23,390.23,36301200
2017-04-13,398.39,398.39,398.39,398.39,398.39,36301200
2017-04-14,395.45,395.45,395.45,395.45,395.45,36301200
2017-04-17,395.79,395.79,395.79,395.79,395.79,36301200
2017-04-18,404.65,404.65,404.65,404.65,404.65,36301200
2017-04-19,405.74,405.74,405.74,405.74,405.74,36301200
2017-04-20,415.31,415.31,415.31,415.31,415.31,36301200
2017-04-21,400.53,400.53,400.53,400.53,400.53,36301200
2017-04-24,398.55,398.55,398.55,398.55,398.55,36301200
2017-04-25,418.89,418.89,418.89,418.89,418.89,36301200
2017-04-26,417.96,417.96,417.96,417.96,417.96,36301200
2017-04-27,421.44,421.44,421.44,421.44,421.44,36301200
2017-04-28,413.48,413.48,413.48,413.48,413.48,36301200
2017-05-02,412.08,412.08,412.08,412.08,412.08,36301200
2017-05-03,417.61,417.61,417.61,417.61,417.61,36301200
2017-05-04,416,416,416,416,416,36301200
2017-05-05,416.19,416.19,416.19,416.19,416.19,36301200
2017-05-08,405.48,405.48,405.48,405.48,405.48,36301200
2017-05-09,408.76,408.76,408.76,408.76,408.76,36301200
2017-05-10,410.09,410.09,410.09,410.09,410.09,36301200
2017-05-11,412.16,412.16,412.16,412.16,412.16,36301200
2017-05-12,413.47,413.47,413.47,413.47,413.47,36301200
2017-05-15,419.55,419.55,419.55,419.55,419.55,36301200
2017-05-16,430.12,430.12,430.12,430.12,430.12,36301200
2017-05-17,426.6,426.6,426.6,426.6,426.6,36301200
2017-05-18,429.54,429.54,429.54,429.54,429.54,36301200
2017-05-19,440.82,440.82,440.82,440.82,440.82,36301200
2017-05-22,441.78,441.78,441.78,441.78,441.78,36301200
2017-05-23,454.2,454.2,454.2,454.2,454.2,36301200
2017-05-24,450.32,450.32,450.32,450.32,450.32,36301200
2017-05-25,450.6,450.6,450.6,450.6,450.6,36301200
2017-05-26,451.92,451.92,451.92,451.92,451.92,36301200
2017-05-31,442.94,442.94,442.94,442.94,442.94,36301200
2017-06-01,449.28,449.28,449.28,449.28,449.28,36301200
2017-06-02,447.31,447.31,447.31,447.31,447.31,36301200
2017-06-05,444.41,444.41,444.41,444.41,444.41,36301200
2017-06-06,448.82,448.82,448.82,448.82,448.82,36301200
2017-06-07,459.37,459.37,459.37,459.37,459.37,36301200
2017-06-08,464.31,464.31,464.31,464.31,464.31,36301200
2017-06-09,465.74,465.74,465.74,465.74,465.74,36301200
2017-06-12,472.88,472.88,472.88,472.88,472.88,36301200
2017-06-13,473.04,473.04,473.04,473.04,473.04,36301200
2017-06-14,474.39,474.39,474.39,474.39,474.39,36301200
2017-06-15,464.3,464.3,464.3,464.3,464.3,36301200
2017-06-16,462.63,462.63,462.63,462.63,462.63,36301200
2017-06-19,470.17,470.17,470.17,470.17,470.17,36301200
2017-06-20,466.3,466.3,466.3,466.3,466.3,36301200
2017-06-21,472.71,472.71,472.71,472.71,472.71,36301200
2017-06-22,472.75,472.75,472.75,472.75,472.75,36301200
2017-06-23,472.73,472.73,472.73,472.73,472.73,36301200
2017-06-26,484.68,484.68,484.68,484.68,484.68,36301200
2017-06-27,484.1,484.1,484.1,484.1,484.1,36301200
2017-06-28,475.3,475.3,475.3,475.3,475.3,36301200
2017-06-29,473.01,473.01,473.01,473.01,473.01,36301200
2017-06-30,471.85,471.85,471.85,471.85,471.85,36301200
2017-07-03,460.37,460.37,460.37,460.37,460.37,36301200
2017-07-04,451.92,451.92,451.92,451.92,451.92,36301200
2017-07-05,460.13,460.13,460.13,460.13,460.13,36301200
2017-07-06,455.98,455.98,455.98,455.98,455.98,36301200
2017-07-07,445.97,445.97,445.97,445.97,445.97,36301200
2017-07-10,454.47,454.47,454.47,454.47,454.47,36301200
2017-07-11,463.13,463.13,463.13,463.13,463.13,36301200
2017-07-12,457.47,457.47,457.47,457.47,457.47,36301200
2017-07-13,456.16,456.16,456.16,456.16,456.16,36301200
2017-07-14,456.41,456.41,456.41,456.41,456.41,36301200
2017-07-17,450.07,450.07,450.07,450.07,450.07,36301200
2017-07-18,452.55,452.55,452.55,452.55,452.55,36301200
2017-07-19,456.86,456.86,456.86,456.86,456.86,36301200
2017-07-20,466.47,466.47,466.47,466.47,466.47,36301200
2017-07-21,473.2,473.2,473.2,473.2,473.2,36301200
2017-07-24,477.8,477.8,477.8,477.8,477.8,36301200
2017-07-25,477.96,477.96,477.96,477.96,477.96,36301200
2017-07-26,471.63,471.63,471.63,471.63,471.63,36301200
2017-07-27,473.87,473.87,473.87,473.87,473.87,36301200
2017-07-28,483.92,483.92,483.92,483.92,483.92,36301200
2017-07-31,481.22,481.22,481.22,481.22,481.22,36301200
2017-08-01,480.24,480.24,480.24,480.24,480.24,36301200
2017-08-02,482.84,482.84,482.84,482.84,482.84,36301200
2017-08-03,477.22,477.22,477.22,477.22,477.22,36301200
2017-08-04,473.64,473.64,473.64,473.64,473.64,36301200
2017-08-07,481.56,481.56,481.56,481.56,481.56,36301200
2017-08-08,482.58,482.58,482.58,482.58,482.58,36301200
2017-08-09,490.85,490.85,490.85,490.85,490.85,36301200
2017-08-10,491.63,491.63,491.63,491.63,491.63,36301200
2017-08-11,484.06,484.06,484.06,484.06,484.06,36301200
2017-08-14,499.83,499.83,499.83,499.83,499.83,36301200
2017-08-15,495.97,495.97,495.97,495.97,495.97,36301200
2017-08-16,496.49,496.49,496.49,496.49,496.49,36301200
2017-08-17,492.69,492.69,492.69,492.69,492.69,36301200
2017-08-18,489.65,489.65,489.65,489.65,489.65,36301200
2017-08-21,489.73,489.73,489.73,489.73,489.73,36301200
2017-08-22,487.22,487.22,487.22,487.22,487.22,36301200
2017-08-23,494.01,494.01,494.01,494.01,494.01,36301200
2017-08-24,492.81,492.81,492.81,492.81,492.81,36301200
2017-08-25,492.99,492.99,492.99,492.99,492.99,36301200
2017-08-28,492.04,492.04,492.04,492.04,492.04,36301200
2017-08-29,489.44,489.44,489.44,489.44,489.44,36301200
2017-08-30,492.97,492.97,492.97,492.97,492.97,36301200
